1	bonsoir à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures à la une	<eps> à tous bienvenue c' est bfm story en direct jusqu' à dix neuf heures <eps> <eps> <eps>	_
1404	donc il y a à la fois une dimension politique géopolitique qui fait que personne ne peut en être absent et puis c' est vrai que là pour le coup on est un peu loin de l' esprit olympique <eps> y <eps> aussi une dimension commerciale et puis télévisuelle d' ailleurs (n) droits télévisés qui ont explosé par rapport aux <eps>	<eps> il y a <eps> la fois une dimension politique géopolitique qui fait que personne ne peut en être absent et puis c' est vrai que là pour le coup on est un peu loin de l' esprit olympique il y a aussi une dimension commerciale et puis télévisuel d' ailleurs de droits télévisés qui ont explosé par rapport au au	_
1405	est ce que ça va faire du bien finalement à la population eur() mondiale et et européenne surtout touchée par la crise	est forcément <eps> <eps> <eps> <eps> <eps> bien finalement populations mondiales <eps> <eps> <eps> et européennes <eps> surtout touchés par la crise	_
1406	(n) <eps> <eps> <eps> <eps> <eps> <eps> moi je pense que non mais je pense que fondamentalement <eps> y a <eps> y a oui <eps> y a une espèce de douce euphorie qui qui qui baigne à chaque fois	moi je pense que c' est pour moi je pense que non mais je pense que fondamentalement il y a il y a oui il y a une espèce de douce euphorie qui qui <eps> baigne <eps> chaque fois	_
1407	on voit (n) la la la foule sur ces images en direct (n) parce que la flamme parcourt en ce moment même les les rues de londres et et on le voit il y a il y a les londoniens sont là les anglais sont là il y a beaucoup de touristes à londres donc on voit bien qu' il y a une fièvre qui commence à s' installer	<eps> voit <eps> la <eps> <eps> foule sur ces images en direct hein puisque la la flamme parcourt en ce moment même les les rues de londres et et on le voit il y a il y a les londoniens sont là les anglais sont là il y a beaucoup de touristes à londres donc on voit bien qu' il y a une fièvre qui commencent à s' installer	_
1408	cette di(mension) cette dimension vous avez raison elle existe incontestablement	est <eps> cette dimension vous avez raison elle existe incontestablement	_
1409	sur le plan purement financier c' est pas forcément une bonne affaire on se souvient par exemple les jeux de montréal en soixante seize avaient été un véritable gouffre financier	sur le plan purement financiers c' est pas forcément une bonne affaire on se souvient pendant <eps> les jeux de montréal en soixante seize avait été un véritable gouffre financier	_
1410	peut être les les voilà la grèce en deux mille quatre aussi <eps> <eps> <eps> peut être les le le les anglais en l' occurrence vont ils finalement avoir une facture vraiment particulièrement <eps> <eps> lourde à payer mais en revanche	peut être les <eps> <eps> la grèce en deux milles quatre elle me faire piquer peut être les le les les anglais en l' occurrence font-ils <eps> finalement avoir une facture vraiment partie en mon lourde à payer mais en revanche	_
1411	sur le plan effectivement de l' atmosphère de la liesse c' est c' est comme <eps> toujours le signe d' un pays un pays qui remporte les jeux c' est un pays qui va plutôt bien pas forcément d' un point de vue économique mais en tout cas en terme d' image de dynamisme d' énergie c' est effectivement ce qui se produit en ce moment même à londres	sur le plan effectivement de l' atmosphère de <eps> liesse ça <eps> c' est quand même toujours le signe d' un pays un pays qui remporte les jeux c' est un pays qui va plutôt bien pas forcément d' un point de vue économique mais en tout cas en termes d' image de dynamisme d' énergie c' est effectivement ce qui se produit en ce moment même à londres	_
1412	jean marc ayrault premier ministre sera présent demain à londres pour la cérémonie d' ouverture françois hollande doit être également je crois assister à à des épreuves	jean-marc <eps> ayrault premier ministre sera présent demain à londres pour la cérémonie d' ouverture françois hollande doit <eps> également je crois assister des <eps> des épreuves	_
1413	trente juillet je crois le trente juillet en l' occurrence c' est d' ailleurs je crois le le jour où laure manaudou sera en compétition	<eps> <eps> je crois que je vais en l' occurrence <eps> est d' ailleurs je crois le le jour où laure manaudou sera compétent <eps>	_
1414	c' est amusant de noter que françois hollande et jean marc ayrault viennent à londres pour les jo mais ils ont boycotté l' euro	<eps> est amusant de noter que françois hollande et jean-marc <eps> ayrault viennent à londres pour les jours mais ils ont boycotté l' euro	_
1415	de foot parce que aujourd'hui <eps> il vaut mieux s' afficher avec une nageuse comme laure manaudou qu' avec un nasri ou un ribéry	<eps> foot parce que aujourd' hui il faut mieux s' afficher avec une nageuses comme laure manaudou qu' avec un asri ou berry <eps>	_
1416	et en l' occurrence s' ils avaient boycotté l' euro de foot c' était surtout à cause de la situation de timochenko l' opposante ukrainienne qui était qui était détenue	<eps> en l' occurrence <eps> ils avaient boycotté l' euro de foot c' était surtout à cause de la situation de timochenko le yen cela les arrange avec détenus <eps>	_
1417	en l' occurrence je pense que le le (h) le football c' est un sport	en l' occurrence je pense que le le bah le football c' est un sport	_
1418	éminemment populaire c' est surement le plus populaire quand on gagne (n) on se souvient qu' en quatre vingt dix huit pour le coup à l' époque <eps> y avait une vrai rivalité jacques chirac et lionel jospin c' était à celui qui se précipiterait le plus vite dans les vestiaires	éminemment populaire c' est sûrement le plus populaire quand on gagne <eps> on se souvient plus quatre-vingt <eps> <eps> dix huit pour le coup à l' époque il y avait une vraie rivalité jacques chirac et lionel jospin c' est à celui qui se précipiterait le plus vite dans les vestiaires	_
1419	parce que la france gagnait c' est plus le cas donc effectivement les politiques quels qu' ils soient se s' affichent beaucoup moins aux côtés de nos stars du foot et c' est vrai qu' en l' occurrence des figures olympiques telles que laure manaudou sont beaucoup plus oecuméniques	parce que la france gagner c' est plus le cas donc effectivement les politiques quels qu' ils soient se s' affichent beaucoup moins aux côtés de nos stars du foot et c' est vrai qu' en l' occurrence des figures olympiques tels que laure manaudou sont beaucoup plus oecuméniques	_
1420	(m) alors donc <eps> le nouvel obs(ervateur) spécial jo <eps> de londres les atouts france sur donc la natation les rendez vous à ne pas manquer et ce quizz olympique mais à mon tour de poser une question	<eps> alors donc que le nouvel obs spécial j o de londres les atouts france sur donc la natation les rendez-vous <eps> à ne pas manquer et se quiz olympique mais à mon sens de poser une question	_
1421	renaud laure manaudou <eps> ne sait pas fait tatouer sur le corps un papillon un lézard ou un marsupilami	renault laure manaudou je ne sais pas fait tatouer sur le corps un papillon lézards <eps> ou un marsupilami	_
1422	je je (h) <eps> <eps> <eps> <eps> <eps> je dirais un lézard mais <eps> <eps>	je je regarde la réponse parce que moi je dirais les heures je l' ai	_
1423	non c' est un marsupilami bon <eps> je vous rends le nouvel obs(ervateur) on va faire le quizz ensemble alors on l' a bien compris la presse magazine s' empare des jeux olympiques mais également les réseaux sociaux regardez ce sujet signé brune audrey	non c' est un marsupilami hein moi je voudrais rendre partout <eps> <eps> on va faire le cuisant cinq alors on l' a bien compris la presse magazine s' emparent des jeux olympiques mais également les réseaux sociaux regardez ce sujet signé brune vrai	_
1424	à chaque athlète son compte tweeter ou sa page facebook aujourd'hui <eps> les sportifs ont massivement investi les réseaux sociaux mais certains n' y dévoile pas pour autant leur intimité	<eps> chaque athlète son compte twitter ou sa page facebook aujourd' hui les sportifs ont massivement investi les réseaux sociaux mais certains ne <eps> dévoile pas pour autant leur intimité	_
1425	je pense que c' est c' est aussi intéressant aux gens qui nous suivent aux fans de de voir quelques photos d' <eps> entraînement mais je suis pas vraiment fan de <eps>	je pense que c' est c' est aussi intéressant aux gens qui nous suivent aux femmes de devoir <eps> quelques photos de l' entraînement mais je suis pas vraiment fan de hum	_
1426	de dévoiler ma vie privée donc <eps> c' est souvent que des photos de piscine et et quelques séances de musculation et je suis assez timide sur le sujet	de dévoiler ma vie privée donc ça c' est souvent que des photos de piscine et et quelques séances de musculation et je suis assez timide sur le sujet	_
1427	mais attention au revers de la médaille en cas de mauvaise utilisation de ces réseaux	<eps> attention au revers de la médaille en cas de mauvaise utilisation de ces réseaux	_
1428	deux nageurs australiens ont ainsi été sanctionnés pour avoir publié une photo compromettante	deux nageurs australiens ont ainsi été sanctionné pour avoir publié une photo compromettante	_
1429	on a écopé d' une punition un peu sévère nous avons tout simplement été banni des réseaux sociaux et puis on sera renvoyé à la maison dès la fin des jeux et vous savez ça arrive ils ont voulu nous punir pour cela c' est un peu brutal mais on doit l' accepter et puis passer à autre chose	<eps> a écopé d' une punition un peu sévère nous avons tout simplement été banni des réseaux sociaux et puis en sera renvoyé à la maison dès la fin des jeux <eps> vous savez ça arrive ils ont voulu nous punir pour cela c' est un peu brutal mais on doit l' accepter et puis passer à autre chose	_
