BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	DANS SON ÉPOUSE BERRU CEBER FEMME SOURIRE EN DIRECT JUSQU'À DIX NEUF HEURES
BIEN DIFFICILE DE DE RÉPONDRE À CETTE QUESTION MAIS IL A PASSÉ DE NOMBREUX CONTRÔLES TOUT AU LONG DE SA CARRIÈRE DÈS SA PREMIÈRE VICTOIRE DANS LE TOUR EN QUATRE VINGT DIX NEUF IL A PASSÉ DES CONTRÔLES IL ÉTAIT CONTRÔLÉ TOUS LES JOURS EN TANT QUE MAILLOT JAUNE	BIEN DIFFICILES DE RÉPONDRE CETTE QUESTION MAIS IL A PASSÉ DE NOMBREUX CONTRÔLES TOUT AU LONG DE SA CARRIÈRE DÈS SA PREMIÈRE VICTOIRE DANS LE TOUR EN QUATRE VINGT DIX NEUF IL A PASSÉ DES CONTRÔLES ET IL ÉTAIT CONTRÔLÉ TOUS LES JOUES EN TANT QUE MAILLOT JAUNE
ET ÇA DE QUATRE VINGT DIX NEUF À DEUX MILLE CINQ SUR TOUTES SES VICTOIRES ET IL A JAMAIS ÉTÉ CONTRÔLÉ POSITIF DONC IL N' A JAMAIS ÉTÉ SANCTIONNÉ PAR LA FÉDÉRATION INTERNATIONALE	ET ÇA DE QUATRE VINGT DIX NEUF À DEUX MILLE CINQ SUR TOUTES CES VICTOIRES ET IL A JAMAIS ÉTÉ CONTRÔLÉ POSITEURS DONT QU'IL N'A JAMAIS ÉTÉ SANCTIONNÉ PAR LA FÉDÉRATION INTERNATIONALE À DEUX MILLE CINQ SUR TOUTES SES VICTOIRES ET IL N'A JAMAIS ÉTÉ CONTRÔLÉE POSITER DONT QU'IL N'A JAMAIS ÉTÉ SANCTIONNÉ PAR LA FÉDÉRATION INTERNATIONALE À DEUX MILLE CINQ SUR TOUTES SES VICTOIRES ET IL A JAMAIS ÉTÉ CONTRÔLÉ POSITER DONT QU'IL N'A JAMAIS ÉTÉ SANCTIONNÉ PAR LA FÉD
IL Y A DES TÉMOIGNAGES QUI L' ONT ACCABLÉ D' ANCIENS COÉQUIPIERS ON A PARLÉ DE TRANSFUSIONS DE PRISES D' EPO	LES TÉMOIGNAGES QUI L'ONT ACCABLÉ D'ANCIENS COÉQUIPTIONS D'AMARLETS DE TRACHES PLUSIEURS DE PRISES DE PÉROU
C' EST VRAI QUE ÇA REPOSE ESSENTIELLEMENT SUR C(ES) DES TÉMOIGNAGES D' ANCIENS ÉQUIPIERS	C'EST VRAI QUE ÇA REPOSE ESSENTIELLEMENT SUR DES TÉMOIGNAGES D'ANCIENS ÉQUIPIERS
POURQUOI CES ANCIENS ÉQUIPIERS N' ONT ILS PAS PARLÉ AU MOMENT OÙ ILS ÉTAIENT DANS L' ÉQUIPE AVEC LUI EN DISANT ATTENDEZ DANS CETTE ÉQUIPE LÀ IL Y A DES PRATIQUES ANORMALES ON ARRÊTE TOUT DE SUITE ILS ONT ATTENDU D' ÊTRE CONDAMNÉS EUX MÊMES POUR	POURQUOI SES ANCIENNES ÉQUIPIERS NON T IL VA PARLER UN MOMENT ILS ÉTAIENT DANS L'ÉQUIPE AVEC LUI EN DISANT ATTENDEZ DANS CETTE ÉQUIPE LÀ Y A DES PRATIQUES NORMALE ON ARRÊTE TOUT DE SUITE ILS ONT ENTENDU D'ÊTRE CONDAMNÉ EUX MÊMES POUR
DÉNONCER LANCE ARMSTRONG DONC C' EST UN SUJET QUI POSE QUESTION ET ON A JAMAIS EU DE PREUVE DE POSITIVITÉ ABSOLUE DE LANCE ARMSTRONG SUR LE TOUR DE FRANCE	DÉNONCÉ L'ENSEMBLE SONT DONC C'EST UN SUJET QUI POSE QUESTION ET ON N'A JAMAIS EU DE PREUVE DE POSITIVITÉ ABSOLUE DE L'ENSEMBLE SUR LE TOURNOI
DONC FINALEMENT IL IL RENONCE POURQUOI SELON VOUS LANCE ARMSTRONG	FINALEMENT IL Y RENONCE POURQUOI SELON VOULANT SERMSTRON
JE CROIS QU' IL EST USÉ PSYCHOLOGIQUEMENT PAR TOUTES CES CES CAMPAGNES QUI ONT EU LIEU CONTRE LUI DE MANIÈRE RÉPÉTITIVE	JE CROIS QU'IL EST USÉ PSYCHOLOGIQUEMENT PAR TOUTES CES CAMPAGNES CONTRE LUI DE MANIÈRE RÉPÉDIE
VOUS LE DÉFENDEZ CE SOIR VOUS AVEZ ENVIE DE LE DÉFENDRE OU PAS	LES COMBATS CE SOIR VOUS AVEZ ENVIE DE DÉFENDRE PAS
J' AI PAS DE PREUVE QU' IL EST QU' IL AIT ÉTÉ POSITIF ET IL S' EST CONDUIT COMME UN GRAND CHAMPION COMME ON A CONNU MERCKX COMME ON A CONNU HINAULT C' ÉTAIT VRAIMENT UN PATRON DANS LE PELOTON C' ÉTAIT VRAIMENT UN BEAU CHAMPION	J'AI PAS DE PRENDRE QU'IL EST QU'IL ÉTAIT POSITIF ET IL S'EST CONDUIT COMME UN GRAND CHAMPION COMME ON A CONNU MERCE COMMON INCONNU INNO S'ÉTAIT VRAIMENT UN PATRON DANS LE PELOTON S'ÉTAIT VRAIMENT UN BEAU CHAMPION
N' OUBLIONS PAS QU' IL A ÉTÉ TRÈS JEUNE CHAMPION DU MONDE UN DES PLUS JEUNES À VINGT À L' ÂGE DE VINGT ANS IL ÉTAIT ABSOLUMENT MÉCONNU À L' ÉPOQUE IL A EU UN CANCER DU TESTICULE IL S' EN EST SORTI IL A ÉTÉ TROIS ANS SANS COURIR	N OUBLIONS PAS QU IL A ÉTÉ TRÈS JEUNE CHAMPION DU MONDE À DES PLUS JEUNES AVANT À L ÂGE DE VINGT ANS QU IL ÉTAIT ABSOLUMENT MÉCONNU À L ÉPOQUE IL A EU UN CANCER DU TESTICULE QUI S'EN EST SORTI IL ÉTAIT TROIS ANS SANS COURIR
IL EST REVENU ET LÀ IL A GAGNÉ LE TOUR ET ENSUITE IL A ENCHAÎNÉ SEPT TOURS DE FRANCE DE SUITE CE QUE PERSONNE N' AVAIT JAMAIS FAIT DONC POUR MOI IL EST PLUS UN EXEMPLE QU' UN PERSONNAGE CONDAMNABLE PARCE QUE	IL EST VENU ET L'AILA GAGNEL TOUR EST ENSUITE IL ENCHAÎNÉ SEPT TOURS DE FRANCE DE SUITE QUE PERSONNE N'AVAIT JAMAIS FAIT DONC POUR MOI IL EST PLUS UN EXEMPLE QU'UN PERSONNAGE CONDAMNAL PARCE QU'IL
IL A SU SE SORTIR D' UN CANCER IL A SU DONNER L' EXEMPLE À DES TAS DE GENS QUI QUI ONT ESPOIR CONTRE CETTE MALADIE	IL A SU SE SORTIR D'UN CANCER ET LA SUITE DONNÉ L'EXEMPLE À DES TADJANS QUI QUI ONT ESPOIR CONTRE CETTE MALADIE
C' EST INTÉRESSANT CE QUE VOUS DITES DOCTEUR PORTE PARCE QUE VOUS ÊTES MÉDECIN VOUS VOUS VENEZ DE ME DIRE IL EST UN EXEMPLE PLUS QU' UN PERSONNAGE CONDAMNABLE LE MÉDECIN SPORTIF QUE VOUS ÊTES À AUCUN MOMENT NE S' EST DIT C' EST C' EST PAS POSSIBLE CE CE TYPE MARCHE PAS À L' EAU CLAIRE COMME ON DIT Y A IL Y A QUELQUE CHOSE	LA NAISSANCE QU'ON DITES DOCTEURS PORTE SI VOUS ÊTES MÉDECIN VOUS VENEZ DE ME DIRE IL EST UN EXEMPLE PLUS QU'UN PERSONNAGE CONDAMNABLE MÉDECIN SPORTIF QUE VOUS ÊTES À AUCUN MOMENT DE CÉDIE C EST PAS POSSIBLE C ÉTAIT CE TYPE
C' EST VRAI QUE JE NE ME JE NE ME LE SUIS JAMAIS DIT MAIS JE ME SUIS JAMAIS POSÉ LA QUESTION NON PLUS POUR BERNARD HINAULT POUR BERNARD THÉVENET POUR	JE SAVRAI JE NE LE JE NE LE SUIS JAMAIS DIT MAIS JE ME SUIS JAMAIS ÉPOUSÉ LA QUESTION NON PLUS POUR BERNARDINO POUR BERNARD TERNET POUR
EDDY MERCKX DE DE TOUT TEMPS ON A EU DES DOMINATEURS DANS LE PELOTON DES DES GRANDS CHAMPIONS	EDIMERTS EN DEUX DE TOUT TEMPS EN A EU DES DOMINATEURS DANS LE PELOTON DES GRANDS CHAMPIONS
ET LUI EN ÉTAIT UN ET IL N' A PAS GAGNÉ QUE DES TOURS DE FRANCE ET POUR MOI IL EST PLUS UN EXEMPLE EN EFFET QUE QUE QU' UN PERSONNAGE ACTUELLEMENT CONDAMNABLE	ET LUI EN ÉTAIT UN IL N A PAS GAGNÉ QUE DES TOURS DE FRANCE ET POUR MOI IL EST PLUS UN EXEMPLE EN EFFET QUE QUELQUES PERSONNAGES ACTUELLEMENT CONDAMNABLES
ET DONC VOUS PARCE QUE VOUS NE VOULIEZ PAS LE VOIR OU PAS SAVOIR	ET NON VOUS PARCE QUE VOUS NE VOULIEZ PAS LE VOIR OU PAS SAVOIR
ON A PAS EU DE PREUVE IL ÉTAIT CONTRÔLÉ LES LES ORGANISMES INTERNATIONAUX QUI FONT LES CONTRÔLES ANTI DOPAGE L' ONT CONTRÔLÉ TOUS LES JOURS OÙ IL ÉTAIT MAILLOT JAUNE IL N' A JAMAIS ÉTÉ CON(DAMNÉ) CONDAMNÉ POUR POSITIVITÉ	ON APPARAÎT PRENDRE IL ÉTAIT CONTRÔLÉ LES ORGANISMES INTERNATIONAUX QU'ILS FONT LES CONTRÔLES ANTIDOPAGES NON CONTRÔLÉS TOUS LES JOURS OÙ L'ÉTAT MAILLOT JAUNE N'A JAMAIS ÉTÉ CONDAMNÉ POUR POSITIVITÉ
MERCI GÉRARD PORTE ANCIEN MÉDECIN DU TOUR DE FRANCE MERCI D' ÊTRE VENU PARLER EN TOUTE FRANCHISE (N)	MER SIGER PORTE ENTIÈRE MÉDECIN TOUR DE FRANCE MERCI DEVENUE PARLANT TOUT FRANCHISA
ABSOLUMENT ABSOLUMENT	ET RENSEIGNEMENT
À PROPOS DE LANCE ARMSTRONG BFM STORY CONTINUE JUSTE APRÈS LE JOURNAL	À PROPOS DE LANCE ARMSTRONG BIENFELSTORYCONTICHE D'APRÈS LE JOURNAL
ON REVIENT PARLER DE LA DISPARITION DE JEAN LUC DELARUE MORT À QUARANTE HUIT ANS DES SUITES D' UN CANCER QUEL SOUVENIR GARDER DE JEAN LUC DELARUE L' ANIMATEUR TÉLÉVISION LE PLUS DOUÉ DE SA GÉNÉRATION	ON REVIENT PARLER DE LA DISPARITION DE JEAN LUC DE LA RUMEUR À QUARANTE HUIT ANS LES SUITES D'UN CANCER QU'ELLE SOUVENIR GARDAIT DE JEAN LUC DE LA RUE ANIMATEUR TÉLÉVISION LE PLUS DOUÉ DE SA GÉNÉRATION
LA DESCENTE AUX ENFERS DANS LA DROGUE ENSUITE POUR L' HOMME DELARUE ET PUIS NOUS SERONS EN DIRECT DE NICE	LA DESCENTE AUX ENFERS DANS LA DROGUE ENSUITE POUR L'HOMME DE LA RUE ÉPINSRON INDIRECT DE DIX
C' EST L' ASSOCIATION DES AMIS DE NICOLAS SARKOZY QUI SE RÉUNIT À NICE RÉUNION D' ANCIENS COMBATTANTS MAIS POUR DÉFENDRE LE BILAN UN BILAN QUEL BILAN PUISQU' IL A ÉTÉ BATTU PAR LES FRANÇAIS NICOLAS SARKOZY AUX ÉLECTIONS	C'EST L'ASSOCIATION DES AMIS NICOLAS SARKOZIC SUR RHINIANS RÉUNIONS D'ANCIENS COMBATS FORTS MAIS POUR DÉFENDRE LE BILAN À BIEN QUEL BILAN PUISQU'IL A ÉTÉ BATTU PAR LES FRANÇAIS NICOLAS SAINTE
ON VA REPRENDRE ENSEMBLE LE FIL DE L' ACTUALITÉ C' EST L' HEURE DU JOURNAL AVEC LA DISPARITION DE L' UN DES ANIMATEURS PRÉFÉRÉS DES FRANÇAIS JEAN LUC DELARUE IL S' EST ÉTEINT DES SUITES D' UN CANCER IL AVAIT QUARANTE HUIT ANS	ON EN PREND L'ENSEMBLE FIL DE L'ACTUALITÉ CÉLÈBRE DU JOURNAL AVEC LA DISPARITION DE L'UN DES ANIMATEURS PRÉFÉRÉS DES FRANÇAIS JEAN LUC DE LA RUE IL S'ÉTAIT UN ISSUE D'UN CANCER QUI AVAIT QUARENTE HUIT ANS
ON LE PRÉSENTE COMME L' UN DES ANIMATEURS LES PLUS DOUÉS DE SA GÉNÉRATION ET DELARUE DONT LE NOM EST ASSOCIÉ	ON PRÉSENTE COMME L'UN DES ANIMATEURS LES PLUS DOUÉS DE SA GÉNÉRATION ET DE LA RUE DANS LE NOM EST ASSOCIÉ
AUX ÉMISSIONS TELLES QUE ÇA SE DISCUTE C' EST MON CHOIX TOUTE UNE HISTOIRE ÉMISSIONS DANS LESQUELLES IL AIMAIT DONNER LA PAROLE AUX ANONYMES D' OÙ LES RÉACTIONS RECUEILLIES AUJOURD'HUI PAR PIERRE CAILLÉ	AUX ÉMISSIONS TELLES QUE CESSE DISCUTENT CES MONTS CHOIX TOUTE UNE HISTOIRE MISSION DANS LESQUELLES IL AIMAIT DONNER LA PAROLE AUX ANONYMES D OÙ L ÉRACTION RECUEILLIE AUJOURD HUI PAR PIERRE CAHIER
C' EST TRISTE C' EST TRISTE TRÈS TRISTE SI JEUNE EN PLUS	C'EST TRISTE S'ÊTRE RESTRATRISTE SIX JEUNES EN PLUS
(H) C' EST C' EST MALHEUREUX C' EST DOMMAGE (H) IL S' EST IL S' EST BIEN BATTU QUAND MÊME POUR POUR LES JEUNES POUR ÉVITER LA DROGUE C' EST C' EST DÉJÀ BIEN C' EST BIEN CE QU' IL A FAIT	ASSEZ C EST MALHEUREUX CE DERNIER MA SEIGNEUR ICI BIEN BATTU QUAND MÊME POUR POLYGÈNE POUR LUI TÉLADROGUE C EST LE SYSTÈME D ESPÉRER
JE SUIS ASSEZ DÉÇUE CE JE J' AIMAIS BIEN CET HOMME J' AIMAIS BIEN SON ÉMISSION J' AIMAIS BIEN CET HOMME	FUT ASSEZ DESSUS J'AI CHEZ BÉBIÉ CET HOMME J'AIMAI BIEN SON ÉMISSION CHEZ MES BIEN CET HOMME
J' AIMAIS BEAUCOUP SON ÉMISSION (S) DOMMAGE QU' IL AIT EU DES PROBLÈMES DE DE DROGUE JE DIRAIS MAIS QUELQUE PART ÇA N' A PAS CHANGÉ SA PERSONNALITÉ J' APPRÉCIAIS LE PERSONNAGE	S'AIMAIENT BEAUCOUP SON ÉMISSION ET BEAUCOUP DE SA PERSONNALITÉ J'APAISSAIENT LE PERSONNAGE
JEAN LUC DELARUE S' ÉTAIT MIS EN RETRAIT DE LA TÉLÉVISION DEPUIS SES AFFAIRES DE DROGUE L' ANNONCE DE SON CANCER RETOUR SUR LE PARCOURS D' UN ENFANT DE LA TÉLÉ DEVENU L' UNE DE SES ICÔNES L' UNE DE SES VEDETTES AVEC ANNABELLE ROULEAU	PAGE LUI DE LA RUSSE ÉTAIT MIS EN RETRAITER LA TÉLÉVISION DEPUIS SES AFFAIRES DE DROGUE L'ANNONCE DE SON CANCER RETOURNE SUR LE PARCOURS D'UN ENFANT DE LA TÉLÉ DEVENUE L'UNE DE SES ICÔNES L'UNE DE SES VEDETTES AVEC ANNA BELLE ROULE
C' EST TOUT JEUNE À VINGT DEUX ANS QUE JEAN LUC DELARUE FAIT SES DÉBUTS À LA TÉLÉVISION PUIS IL ANIME OCCASIONNELLEMENT LES ENFANTS DU ROCK ET À VINGT SEPT ANS ON LUI CONFIE LA PRÉSENTATION DE LA GRANDE FAMILLE	C'EST TOUT JEUNE VINGT DEUX ANS QUE JEAN LUC DE LA RUE FAIT SES DÉBUTS À LA TÉLÉVISION PUIS IL ANIME OCCASIONNELLEMENT LES ANCIENS DU ROCK ET À VINGT SEPT ANS LUI CONFIE LA PRÉSENTATION DE LA GRANDE FAMILLE
C' EST SANS DOUTE L' UN DES L' UN DES GARÇONS QUI NOUS A LE PLUS SIDÉRÉ PAR CE SON ACCOMPLISSEMENT DÉJÀ LORSQU' IL S' EST POINTÉ À CANAL ALORS QU' IL DEVAIT AVOIR VINGT CINQ ANS VINGT SIX ANS	C'EST SANS DOUTE L'ANNÉE L'UN DES GARÇONS QU'IL NOUS A LE PLUS SIDÉRÉS PARCE SON ACCOMPLISSEMENT DÉJÀ LORSQU'IL S'EST POINTÉ UN CANAL ALORS QU'IL VEUT À VOIR UF VINGT CINQ CENT VINGT SIX ANS
CETTE ÉMISSION QUOTIDIENNE DIFFUSÉE À LA MI JOURNÉE LE FAIT CONNAÎTRE AUPRÈS DU GRAND PUBLIC D' AUTANT QU' AU MÊME MOMENT IL PREND LA TÊTE DE LA MATINALE SUR EUROPE UN EN DEUX SAISONS CETTE TRANCHE GAGNE TROIS CENT MILLE AUDITEURS	CETTE ÉMISSION QUOTIDIENNE DIFFUSÉE À LA MI JOURNÉE LE FAIT CONNAÎTRE AUPRÈS DU GRAND PUBLIC D'AUTANT QU'AU MÊME MOMENT IL PREND LA TÊTE DE LA MATINALE SUR EUROPA EN DEUX SAISONS SEPT TRANCHES GAGNE TROIS CENTS MILLE AUDITEURS
ET LÀ JE PEUX VOUS DIRE QUE C' ÉTAIT UNE SOURCE D' INSPIRATION PARCE QUE C' ÉTAIT UN DÉBIT DE MITRAILLETTE C' ÉTAIT DU DU RYTHME C' ÉTAIT DE L' ENTHOUSIASME C' ÉTAIT DE LA CURIOSITÉ JE DÉMARRAIS TOUTES MES JOURNÉES AVEC LUI	ET L ÂGE FONT DIRE QUE CETTE ÉMISSION D'INSPIRATION PRESQUE C'ÉTAIT UN DÉBITLITRAYÉ CÔTÉ DU DU RYTHME C'ÉTAIT DE L'ENTHOUSIASME C'ÉTAIT DE LA CURIOSITÉ DÉMARRE TOUTES LES JOURNÉES AVEC LUI
FRANCE DEUX LUI PROPOSE ALORS LE CONTRAT QU' IL ATTENDAIT ANIMATEUR ET PRODUCTEUR IL CRÉE RÉSERVOIR PROD EN QUATRE VINGT QUATORZE ET LANCE ÇA SE DISCUTE CETTE ÉMISSION EST LA PREMIÈRE DU GENRE ELLE S' INSPIRE DE LA TÉLÉVISION AMÉRICAINE ET LANCE LE TÉMOIGNAGE EN FRANCE	FRANCE DE LUI PROPOSE ALORS LE CONTRAT QUI L'ATTENDAIT ANIMATEUR ET PRODUCTEUR IL CRÉE RÉSERVOIR PRENDRE QUATRE VINGT QUATORZE AMÉRICAINES ET L'EN SOUS TÉMOIGNAGE EN FRANCE
À L' ÉPOQUE IL ÉTAIT IL ÉTAIT EN AVANCE SUR TOUT LE MONDE AUSSI BIEN PARCE QU' IL ÉTAIT JEUNE DANS CE QU' IL FAISAIT ET QU' IL ÉTAIT TRÈS BRILLANT TRÈS VIVACE ET TRÈS RAPIDE ET AUSSI PARCE QUE LE GENRE QU' IL CRÉAIT ÉTAIT AU(SSI) AUSSI ASSEZ NOVATEUR POUR LA TÉLÉVISION DE L' ÉPOQUE (N)	À L ÉPOQUE IL ÉTAIT IL E TAIT EN AVANCE SURTOUT AUSSI BIEN PARCE QU IL ÉTAIT JEUNE DONT IL FAISAIT QUI ÉTAIT TRE S BRILLANTE ET VIVACE E TRERAPIE ET AUSSI PARCE QUE LE GENRE QU IL CRÉE E TE AU AUSSI ASSEZ NOVATEUR POUR LA TÉVISION L ÉPOQUE
ÇA SE DISCUTE RESTERA QUINZE ANS À L' ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMISSIONS EN SIX ANS RÉSERVOIR PROD EMBAUCHE ALORS DEUX CENT CINQUANTE PERMANENTS JEAN LUC DELARUE EST PASSÉ MAÎTRE DANS L' ART DU TÉMOIGNAGE	SEIZE DISCUTES RESTAURA QUINZE ANS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMISSIONS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION DIX ÉMISSIONS À L'ANTENNE IL DEVIENT UN BOULINIQUE DE PRODUCTION DIX ÉMISSIONS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION POUR SIX ÉMISSIONS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMILESSIONS EN SIX CENTS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMILESSIONS EN SIX CENTS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMILESSIONS EN SIX CENTS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMILESSIONS EN SIX CENTS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMILESSIONS EN SIX CENTS À L'ANTENNE IL DEVIENT UN BOULIMIQUE DE PRODUCTION SIX ÉMIS
C' EST L' HOMME QUI A FAIT PARLER DES MILLIERS DE FRANÇAIS C' EST L' HOMME QUI A COMPRIS QUE CHACUN	C'EST L'HOMME QUI A FAIT PARLER DES MILLIERS FRANÇAIS C'EST L'HOMME QUI A COMPRIS QUE CHACUN
QUEL QU' IL SOIT AVAIT UNE PART DE VIE UNE PART D' EXPÉRIENCE UNE PART DE RÉALITÉ À RACONTER ET QUE CETTE PART LÀ ET (N) TÉMOIGNAIT DE LA GLOBALITÉ DE LA SOCIÉTÉ FRANÇAISE	QUEL QU'IL SOIT AVAIT UNE PART DE VIE UNE PART D'EXPÉRIENCE UNE PART DE RÉALITÉ À RACONTER ET QUE CETTE PARLA ET BAT TÉMOIGNER DE LA GLOBALITÉ LA SOCIÉTÉS FRANÇAISE
EN DEUX MILLE SIX C' EST À NOUVEAU LE CARTON PLEIN AVEC TOUTE UNE HISTOIRE ET EN DEUX MILLE ONZE NOUVEAU CONCEPT AVEC RÉUNION DE FAMILLE MAIS APRÈS DEUX MOIS DE DIFFUSION JEAN LUC DELARUE ARRÊTE LA PRÉSENTATION ON NE REVERRA PLUS LE SURDOUÉ DE LA TÉLÉ À L' ÉCRAN	EN DEMI SIX C EST À NOUVEAU LE CARTON PLEIN AVEC TOUTE UNE HISTOIRE ET EN DOMINANCE NOMBREUX CONTEXTES AVEC RÉUNIONS DE FAMILLES MAIS APRÈS DEUX MOIS DE DIFFUSION JEAN LUC DE LA RUE ARRÊTE LA PRÉSENTATION ONDRE VERA PLUJEU SUR DOUE ET DE LA TÉLÉ À L'ÉCRAN NE SONT PAS À DOSES
ET TOUT AU LONG DE LA JOURNÉE SUR BFM TV LES RÉACTIONS SE SONT MULTIPLIÉES POUR SALUER LA MÉMOIRE DE L' HOMME DE TÉLÉVISION DU PRODUCTEUR DU RÉVÉLATEUR DE TALENTS FLORILÈGE COMPILÉ PAR SOPHIE HEBRARD	ET TOUT AUTANT LA JOURNÉE SURBÉE FERME TÉBÉ LES RÉACTIONS SE SONT MULTIPLIÉES POUR SALUER LA MÉMOIRE DE L'HOMME DE TÉLÉVI ANNÉES POUR SALUER LA MÉMOIRE DE L'HOMME DE TÉLÉVISE COMPILÉS PAR SOPHIE HÉBRARD
C' ÉTAIT UN TYPE BRILLANT C' ÉTAIT TRÈS DRÔLE C' ÉTAIT UN TYPE CYNIQUE MAIS SURTOUT ENVERS LUI MÊME	C'EST UN SUBRAILLANCE ET CETTE TRÈS RHÔNE C'EST À TYPE PHYNIQUE NE CHANTON VERS LUI MÊME
ET AUSSI AUSSI UN PEU GIVRÉ PARFOIS DONC COMME COMME ON L' EST TOUS PARCE QUE CE MÉTIER MAIS C' EST UN TYPE QUE JE QUE J' AIMAIS BEAUCOUP ET QUI ME FAISAIT BEAUCOUP RIRE	C'EST AUSSI UN PEU J'IRAI PAR FOIS DONCQUES ET J'AIME BEAUCOUP QU'ILS FAISAIENT BONCORER
SON ÉNERGIE SA SA PÊCHE SON SON INTELLIGENCE	EN ÉNERGIE LA CHAPELLE SONT SON INTELLIGENCE
SA BIENVEILLANCE AUSSI AVEC NOUS ENFIN BON BREF UN GRAND UN GRAND UN GRAND UN GRAND MONSIEUR JE JE PENSE DE LA TÉLÉ	A BIENVEILLANCE AUSSI AVEC LE ROUTE À MONTBREF TRENTE GRANDS AGRANTS GRANDS MESSIEURS LA TÉLÉ
C' ÉTAIT QUELQU' UN QUI ÉTAIT EXTRÊMEMENT HUMAIN TRÈS ATTENTIF À SES SALARIÉS RÉSERVOIR PROD C' ÉTAIT VRAIMENT	C'EST INQUIÉTÉE EXTRÊMEMENT HUMAIN TRÈS ATTENTIF À SES SALARIÉS PRÈS D'ABORD PRENDRE FÉDÉRALEMENT
IL LES AIMAIT TOUS LES GENS QUI TRAVAILLAIENT À RÉSERVOIR PROD DONC VOILÀ C' ÉTAIT QUELQU' UN DE FIDÈLE EN AMITIÉ QUI ÉTAIT TOUJOURS LÀ DANS LES BONS LES MAUVAIS MOMENTS	LE JEUNE A DE TOUS LES GENS QUI TRAVAILLARAIENT AVOIR PREUVE DONT VOILÀ CHEZ QUELQU'UN FIDÈLE EN AMITIÉ QUI ÉTAIT TOUJOURS LÀ DANS L'ÉPOUSE MAUVAIS MOMENT
ET IL AVAIT UN GÉNIE MAIS DE TRÈS C' EST À DIRE QUAND IL NOUS PASSAIT LA PAROLE POUR LES FLASHS ON FAISAIT DES PARTIES DE PING PONG ABSOLUMENT GÉNIALES ET J' EN GARDE UN GRAND SOUVENIR	IL AVAIT UN GÉNÉRINE ET DE TRÈSPARTISTE D ACCOMPAGNER LA PAROLE POUR LES FLAGES ENVOYÉS DES PARKING KLINGTON ABSOLUMENT GÉNÉALS ET GENDARMES GRAND SOUVENIRS
ON CHANGEAIT D' ÉPOQUE AVEC LUI LA RADIO CHANGEAIT D' ÉPOQUE ET APRÈS IL Y A EU BEAUCOUP DE D' ANIMATEURS QUI L' ONT QUI L' ONT IMITÉ MAIS LUI IL CRÉAIT UN	EN CHANGER D'ÉPOQUE VÉHICULE À LA RADIO CHANGÉE D'ÉPOQUE ET ABRI UN BEAUCOUP DE D'ANIMATEURS QUI L'ONT UNITÉ MAIS LUI EST CRÉÉ
STYLE NOUVEAU ET C' EST QUELQU' UN QUI A LANCÉ UN STYLE D' ANIMATEUR QUI QUI APPARTENAIT QUI N' APPARTENAIT QU' À LUI	ET LE NOUVEAU ET QUELQU'UN QUI A LANCÉ UN STYLE D'ANIMATEUR QU'IL LUI QUI APPARTENAIT QU'IL APPARTENAIT À LUI
ÇA A ÉTÉ LE LE LE LE MAÎTRE FINALEMENT DE DE LA DÉFINITION DE TÉMOIGNAGE	ON LE METTRE FINALEMENT DE LA DÉFINITION DE TÉMOIGNAGE
DU DU IL FAISAIT IL ARRIVAIT À FAIRE PARLER SES INVITÉS TOUS ANONYMES SUR LES THÈMES LES PLUS COMPLIQUÉS OU INTIMES	MAIS L'ARRIVÉE À FAIRE PARLER SES INVITÉS TOUS ANONYMES SUR LES THÈMES LE PLUS COMPLIQUÉS OU INTIMES
LES SUCCÈS L' ONT L' ONT BRULÉ C' EST UN UNIVERS ET CHRISTOPHE DECHAVANNE OU MICHEL DRUCKER PEUVENT LE DIRE QUAND ON LE MAÎTRISE PAS ASSEZ C' EST UN UNIVERS QUI QUI DÉVORE	LES SUCCESSIVES DE CHAVANNE OU MICHEL DRUCKER POUR VENIR QUAND ON LE MAÎTRISE PASSER C'EST UN UNIVERS QUI QUI DÉVORE
QUI AVALE QUI CONSUME SES SES ENFANTS	QUI AVAL QUI CONSUME CHEZ SES ENFANTS
LA PREMIÈRE FOIS QU' ON S' EST RENCONTRÉ IL IL M' A POSÉ DES QUESTIONS PENDANT UNE DEMI HEURE SUR MOI SUR MA VIE D' OÙ JE VENAIS CE	PREND FEMME S'EST RENCONTRÉ IL M'A POSÉDUCATION PENDANT UNE DEMI SUR MOI SUR MA VIE DE GENÈSEE
