BONSOIR À TOUS BIENVENUE C' EST BFM STORY EN DIRECT JUSQU' À DIX NEUF HEURES À LA UNE	SONT NÉCESSAIRES FEMMES SOURIS EN DIRECT JUSQU À À DIX NEUF HEURES
ÉTANT DONNÉ LE STOCK D' ARMES CHIMIQUES QUE POSSÈDE CE RÉGIME NOUS FERONS EN SORTE QU' ASSAD ET SON ENTOURAGE SACHENT QUE LE MONDE LES REGARDE ET QU' ILS DEVRONT RENDRE DES COMPTES DEVANT LA COMMUNAUTÉ INTERNATIONALE ET LES ÉTATS UNIS S' ILS FAISAIENT L' ERREUR TRAGIQUE DE LES UTILISER	ÉTANT DONNÉ LE STOCK D ARMES CHIMIQUES POSSÈDE CE RÉGIME NOUS FERONS EN SORTES QU ASSADES ET SON ENTOURAGE SACHE QUE LE MONDE EST REGARDE ET QU ILS DEVRONT RENDRE DES COMPTES DEVANT LA COMMUNAUTÉ INTERNATIONALE ET LES ÉTATS UNIS S ILS FAISAIENT L ERREUR TRAGIQUE DE LES UTILISER QUE VOUS ÉGORAGE MOI
LE SECRÉTAIRE GÉNÉRAL DE L' ONU BAN KI MOON A RAPPELÉ LES BASES DU DROIT INTERNATIONAL AU GOUVERNEMENT SYRIEN	LE SECRÉTAIRE GÉNÉRAL DE LAUNU BENKIMUN RAPPELÉ LES BASES DU DROIT INTERNATIONAL AU GOUVERNEMENT SYRIEN
TOUS LES PAYS ONT L' OBLIGATION DE NE PAS UTILISER DES ARMES DE DESTRUCTION MASSIVE QU' ILS SOIENT SIGNATAIRES OU NON D' UNE CONVENTION OU D' UN ACCORD	HOLD TOUS LES PAYS ONT L OBLIGATION DE NE PAS UTILISER DES ARMES DE DESTRUCTION MASSIVE MAIS C ÉTAIT QU ILS SOIENT SIGNATAIRES OU NON LES CONVENTIONS OUDONATOIRES
LA SYRIE DÉVELOPPERAIT UN ARSENAL D' ARMES CHIMIQUES DEPUIS LES ANNÉES SOIXANTE DIX CERTAINS EXPERTS L' ANALYSENT COMME UNE RÉPONSE À L' ARMEMENT NUCLÉAIRE D' ISRAËL	LA SÉRIE DÉVELOPPERA UN ARSENAL D ARMES CHIMIQUES DEPUIS LES ANNÉES SOIXANTE DIX CERTAINS EXPERTS L ANALYSE COMME UNE RÉPONSE À L ARMEMENT NUCLÉAIRE D ISRAËL
ET MÊME MOSCOU POURTANT ALLIÉ DU RÉGIME SYRIEN S' INQUIÈTE LA RUSSIE A RAPPELÉ QUE L' UTILISATION D' ARMES CHIMIQUES ÉTAIT INTERDITE DEPUIS UN PROTOCOLE VIEUX DE PLUSIEURS DÉCENNIES ET RATIFIÉ PAR DAMAS	LES MOSCOUS POURTANT ALLIÉS DU RÉGIME SYRIEN S INQUIÈTENT LA RUSSIE À RAPPELER QU UTILISATION D ARCHIMIQUE ÉTAIT INTERDITE DEPUIS UN PROTOCOLE VIO DE PLUSIEURS DÉCENNIES EST RATIFIÉ PAR DAMAS
ON PART À LONDRES QUARTIER DE SAINT PANCRAS PREMIÈRE ÉTAPE SUR LE CHEMIN DES SITES OLYMPIQUES POUR LES ATHLÈTES FRANÇAIS NICOLAS JAMAIN GROSSE CONCENTRATION DE MÉDAILLABLES SUR LE QUAI AUJOURD'HUI	EN PARALLONDRE QUARTIER DE SAINT PANKRAS PREMIÈRE ÉTAPE SUR LE CHEMIN DÉCIDE OLYMPIQUE POUR LES ATHLÈTES FRANÇAIS À GUNOFTONO NICOLAS JAMA GROSSE CONCENTRATION DE MÉDAILLABLE SUR LE QUAI AUJOURD HUI
EXACTEMENT DAMIEN TOUT A COMMENCÉ À MIDI AUJOURD'HUI À SAINT PANCRAS EN PLEIN COEUR DE LONDRES SUR LE QUAI DE LA GARE AVEC L' ARRIVÉE D' ABORD	EXACTEMENT DAMIENF A COMMENCÉ À MIDI AUJOURD HUI À CINQ TRACE EN PLEIN CŒUR DE L ENSOLEQUÉ LA GARE AVEC L ARRIVÉE D ABORD
D' UNE DÉLÉGATION D' UNE ÉQUIPE DE FRANCE DE NATATION VINGT NEUF NAGEURS ET NAGEUSES FRANÇAIS ET FRANÇAISES SONT ARRIVÉS EMMENÉS PAR QUELQUES STARS NOTAMMENT ON PEUT LES CITER	D UNE DÉLÉGATION D UNE ÉQUIPE DE FRANCE DE NATATION VINGT NEUF NAGEURS ÉNAGEUSES FRANÇAIS EST FRANÇAISE ARRIVÉE EMMENÉE PAR QUELQUES STARS NOTAMMENT AUX PUBLICITÉS
ALAIN BERNARD CAMILLE LACOURT YANNICK AGNEL	A LA BERNARD CAMILA CORIANICANIEL
CAMILLE MUFFAT MAIS ÉGALEMENT LAURE MANAUDOU (N)	LA CAMILLE MUFAM EST ÉGALEMENT L OR MALODO
QUI FAIT SON RETOUR DANS DES JEUX OLYMPIQUES TRÈS DISCRÈTE TRÈS PRESSÉE VISIBLEMENT LAURE MANAUDOU PUISQU' ELLE A ÉVITÉ QUASIMENT	A QUI FAIT SON RETOUR DANS DES JEUX OLYMPIQUES TRÈS DISCRÈTES PRÉPRESSÉS VISIBLEMENT LEUR MALODEAU ET PUISQU ELLE A ÉVITER QUASIMENT
TOUTES LES CAMÉRAS POUR SE FAUFILER DANS LE BUS DE L' ÉQUIPE DE FRANCE DE NATATION ET PUIS IL Y A QUELQUES MINUTES ON L' ATTENDAIT AVEC BEAUCOUP D' IMPATIENCE L' ARRIVÉE D' UNE AUTRE ÉQUIPE DE FRANCE QUI EN GÉNÉRAL (N) RAPPORTE ÉNORMÉMENT DE MÉDAILLES	TOUTES LES CAMÉRAS POUR SE FAUFILER DANS LE BUS DE L ÉQUIPE DE FRANCE DE NATATION ÉPUIS QUELQUES MINUTES EN ATTENTER AVEC BEAUCOUP D IMPATIENCE L ARRIVÉE D UNE AUTRE ÉQUIPE DE FRANCE QUI EN GÉNÉRAL RAPPORTE L ÉNORMÉMENT DE MÉDAILLES
À LA DÉLÉGATION OLYMPIQUE FRANÇAISE ET BIEN L' ÉQUIPE DE FRANCE D' ESCRIME EMMENÉE BIEN SÛR PAR L' INARRÊTABLE L' INÉPUISABLE	À LA DÉLÉGATION LA PLUS FRANÇAISE BIEN L ÉQUIPE DE FRANCESCRIME EMMENÉ BIEN SÛR PAR CONARRÉTABLE INÉPUISABLE
LAURA FLESSEL ELLE A QUARANTE ANS ELLE PARTICIPE ICI À LONDRES À SES CINQUIÈMES JEUX OLYMPIQUES DOUBLE MÉDAILLÉE D' OR ELLE EST ARRIVÉE IL Y A QUELQUES MINUTES	LAURAF LAISSAIT LA QUARANTOR ELLE PARTICIPE ICI À LONDRES À SES CINQUIÈMES JEUX OLYMPIQUES DOUBLES MÉDAILLÉS D OR OLYMPIC D ARRIVÉE DE QUELQUES MINUTES
AVEC ET BIEN DU BLEU DU BLANC ET DU ROUGE SUR LES ONGLES DES MAINS SUR LES ONGLES DES PIEDS EXTRÊMEMENT SOURIANTE HEUREUSE ET BIEN DE VIVRE DANS QUELQUES HEURES DANS QUELQUES JOURS SES CINQUIÈMES JEUX OLYMPIQUES JE VOUS PROPOSE DE L' ÉCOUTER AU MICRO DE RODOLPHE MASSET C' ÉTAIT IL Y A QUELQUES MINUTES	AVEC QUE LES BIENS DU BLEU DU BLANC ET DES ROUGES SUR LES ONGLES DES MAINS SONT LES ANGLES DES PIEDS EXTRÊMEMENT S ORIENTES HEUREUSES ET BIEN DE VIVRE DANS QUELQUES ORDRES
ON Y EST LORSQU' ON EST ARRIVÉ EN FAIT À LA GARE DU NORD ET QUE L' ÉQUIPE D' EUROSTAR NOUS A AGRÉABLEMENT ACCUEILLIS ON SE DIT VOILA ON ON PART ET LORSQU' ON A MIS LE PIED	LORSQUE L ARRIVÉE EN FAIT À LA GARDE NORD EST À L ÉQUIPE DE RUSSIE
DANS LE LE TRAIN LÀ Y AVAIT UNE GROSSE FRÉNÉSIE IL Y A EU QUE DE L' EXCITATION ET VOILA ON ARRIVE ON POSE LE PIED ICI ON EST	LE TRAIN D AILLEURS LIBÉRATION D EXCÉDATION EST VOILÀ UN ARRIVE REPRÉSENTE ICI ON N EST QUE D EXCÉDATION ET VOILÀ UN ARRIVE REPRÉSENTE ICI ON N EST QUE D EXCÉDATION ET VOILÀ UN ARRIVE REPRÉSENTÉ ICI
REÇU AVEC AVEC DES GARDES LE JE DIRAIS LE LE CLIN D' OEIL AVEC L' ENGLISH TEA ÇA ÇA FAIT PLAISIR ÇA FAIT PLAISIR VOILA IL Y A LES ANNEAUX VOUS ÊTES LÀ VOUS NOUS RAPPELEZ QUE ON EST VENU POUR LA COMPET(ITION) DONC ON VA ON VA ESSAYÉ D' ÊTRE CONQUÉRANT	BRIGHTY ÇA S APPELLE PLAISIR S ÉTAIT PLAISIR CARRIER LES AMIS ET L ARTICLE PRÉVENUS POUR LA COMÈTE CONTRE UN RÉCIT D ÉMIGRANTS
VOILÀ LES CINQUIÈMES ET DERNIERS JEUX OLYMPIQUES POUR LAURA FLESSEL BIEN SÛR QUI SERONT TRÈS PARTICULIERS POUR ELLE PUISQUE	VOILÀ DES CINQUIÈME ET DERNIERS JEUX OLYMPIQUES POUR LAURA FLESSEL BIEN SÛR QUI SERONT ÊTREILLE PARTICULIER POUR ELLE PUISQUEUX
ELLE SERA VENDREDI LORS DE LA CÉRÉMONIE D' OUVERTURE AU STADE OLYMPIQUE DE LONDRES LA PORTE DRAPEAU DE LA DÉLÉGATION OLYMPIQUE FRANÇAISE ELLE QUI ENTRERA EN COMPÉTITION DÈS LE TRENTE JUILLET	ELLE SERA VENDREDI LORS DE LA CÉRÉMONIE D OUVERTURE POSSÈDE OLYMPIQUE DE LONDRES LA PORTE DRAPEAU DE LA DÉLÉGATION OLYMPIQUE FRANÇAISE ELLE QUI Y ENTRE EN COMPÉTITION DÈS LE TRAN JUILLET
NICOLAS JAMAIN AVEC DEPUIS LONDRES	NICOLAGEMENT AVEC FLORENT SUSINI DEPUIS LONDRES
ON VA PARLER MAINTENANT D' UNE ESPÈCE DE G25 DE LA GASTRONOMIE	M APPRELE MAINTENANT D UNE ESPÈCE DE GE VINGT CINQ DE LA GASTRONOMIE
OUI CE SONT LES CUISINIERS DES VINGT CINQ CHEFS D' ÉTAT LES PLUS PUISSANTS DU MONDE	LOUIS CE SONT LES CUISINIERS DES VINGT CINQ CHEFS D ÉTAT LES PLUS PUISSANTS DU MONDE
QUI SONT RÉUNIS POUR TROIS JOURS À PARIS ILS ONT VISITÉ RUNGIS VERSAILLES ET VOUS LE VOYEZ ILS ONT ÉTÉ REÇU À L' ELYSÉE PAR FRANÇOIS HOLLANDE À L' OCCASION DE SIGNALER QUE LE TITULAIRE LÀ BAS S' APPELLE BERNARD VAUSSION ET QUE LA RÈGLE DE L' ALTERNANCE S' ARRÊTE À LA PORTE DES CUISINES BERNARD VAUSSION ÉTAIT DÉJÀ EN POSTE SOUS GEORGES POMPIDOU	ILS SONT RÉUNIS POUR TROIS JOURS À PARIS EN VISITEURS À GISE VERSAILLES ET VOULOYERS ONT ÉTÉ REÇUALISÉS PAR FRANÇOIS HOLLANDE À L OCCASION DE SIGNALER QUE LE TITULAIRE LÀ BAS S APPELLE BERNARD VOSTION AVEC LA RÈGLE DE L ALTERNANCE S ARRÊTE À LA PORTE DES CUISINES BERN INVOTION ÉTAIT DÉJÀ EN POSTE SOUS GENRE POMPIDOU
VOILÀ IL A REÇU SA PETIT TOQUE FRANÇOIS HOLLANDE	DERRIÈRE OFFICIER TACK
TERMINER (N) POUR LE RÉGIME DU PRÉSIDENT PROMESSE DE CAMPAGNE	MINEEN POUR LE RÉGIME DU PRÉSIDENT
UN OEIL SUR LE TEMPS PRÉVU DEMAIN MATIN	LE TEMPS PRÉVU AU DEMAIN MATIN
ON VA REGARDER ÇA EFFECTIVEMENT ET ON AURA UNE PENSÉE POUR TOUS CEUX QUI SONT EN VACANCES DEUX PETITS NUAGES POUR LA RÉGION NIÇOISE ET POUR LA CORSE LE RESTE C' EST QUE DU SOLEIL LES TEMPÉRATURES SONT DOUCES DÈS LE LEVER DU JOUR VOUS LE VOYEZ TREIZE DANS LE NORD SEIZE SUR LA CAPITALE	ON REGARDAIT SES EFFECTIVEMENT UNE REINE PENSÉE POUR TOUS CEUX QUI SONT EN VACANCES D OPTINUAGE POUR LA RÉGION NIÇOISE ET POUR LA CORSE LE RESTE CES QUEUES DU SOLEIL ET LES TEMPÉRATURES SONT DOUCES DÉLOVÉES DU JOUR RENVOYÉ TREIZE DONNÉES SUR LA CAPITALE
ET A BIARRITZ DIX SEPT À LYON IL FAIT VINGT DEGRÉS SUR LE CAP CORSE	ET À BIARRITZ DIX SEPT ALLIONS IL FAIT VINGT DEGRÉS SUR LE CAP CORSE
CETTE FOIS CI C' EST VRAIMENT LA FIN LA FIN POUR FRANCE SOIR LIQUIDÉ	CETTE FOIS CI C EST VRAIMENT LA FIN LA FIN POUR FRANÇOIS LIQUIDÉ
PAR LE TRIBUNAL DE COMMERCE UN TITRE HISTORIQUE DE LA PRESSE FRANÇAISE QUI TENTAIT SA SURVIE SUR LE NUMÉRIQUE ON EN PARLE AVEC LE TOUT DERNIER RÉDACTEUR EN CHEF DE FRANCE SOIR DOMINIQUE DE MONTVALON C' EST BIEN TRISTE TOUT ÇA	PAR LE TRIBUNAL DE COMMERCE À TITRE HISTORIQUE DE LA PRESSE FRANÇAISE QUI TENTAIT SA SURVIE SUR LE NUMÉRIQUE ON EN PARLE AVEC LE TOUT DERNIER RÉDACTEUR EN CHEF DE FRANÇOIS DEMI DE MONTVALON CÉBIATRICE TOUT ÇA
OUI C' EST TRISTE C' EST C' EST UN CHOC ON S' ATTENDAIT À CETTE ISSUE ON ESPÉRAIT NOUS AUTRES JOURNALISTES	OUI C EST TRISTE C EST C EST UN CHOC ON EN S ATTENDAIT À SES ISSUES ON ESPÉRAIT NOTRE JOURNALISTE
QUI AVONS TENTÉ DE DE FAIRE VI(VRE) ET ET EN PARTIE RÉUSSI DE FAIRE VIVRE CE SITE DEPUIS DEPUIS JANVIER EN FAIT ON ÉTAIT VÉRITABLEMENT EN ÉQUIPE COMPLÈTE DEPUIS LA MI MARS SEULEMENT	QUI AVAIT TENTÉ DE LE FERVIER ET EN PARTI RÉUSSIT DE FAIRE VIVRE CE SITE DEPUIS DEPUIS JANVIER EN FAIT N ÉTAIT VÉRITABLEMENT EN ÉQUIPE COMPLÈTE DEPUIS LA MI MARCEAU SEULEMENT
ON ESPÉRAIT QUE PEUT ÊTRE UN REPRENEUR SURGIRAIT AU DERNIER MOMENT VIENDRAIT PRENDRE LE RELAIS DE D' ALEXANDRE POUGATCHEV LE LE PRÉSIDENT NOTRE PRÉSIDENT FRANCO RUSSE QUI A QUI A JETÉ L' ÉPONGE	ON ESPÉRAIT QUE PEUT ÊTRE UN REPRENEUR SURGIREZ AU DERNIER MOMENT VIENDRAIT PRENDRE LE RELAI DE D ALEXANDRE PUGACHEFLE LE PRÉSIDENT NOTRE PRÉSIDENT FRANCO RUSQUE AVEC ACHETER L ÉPONGE
VOILA C' EST C' EST UNE C' EST UNE DÉCEPTION C' EST UN CHOC ET À CERTAINS ÉGARDS POUR NOUS ON LE VIT COMME UNE INJUSTICE PARCE QU' ON A LE SENTIMENT	RELASSEZ C EST UNE C EST UNE DÉCEPTION C EST UN CHOC ET À CERTAINS ÉGARDS POUR NOUS ON LE VIT COMME UNE INJUSTICE PARCE QU ON A LE SENS
ET (N) PARCE QU' ON A LE SENTIMENT QUE ON AVAIT MARQUÉ DES POINTS ET QU' ON AVAIT LE DROIT D' AVOIR QUELQUES MOIS DEVANT NOUS COMME D' AILLEURS ALEXANDRE POUGATCHEV NOUS L' AVAIT PROMIS À L' ORIGINE	MAIS IMPASSE QU ON A LE SENTIMENT QUE ON AVAIT MARQUÉ DES POINTS ET QU ON AVAIT LE DROIT D AVOIR QUELQUES MOIS DEVANT NOUS COMME D AILLEURS ALEXANDRE VOGACHER QUI L AVAIT PROMIS À L ORIGINE
OUI ALORS (N) ATTENDEZ C' EST C' EST UNE AFFAIRE COMPLIQUÉE IL IL EST ARRIVÉ POUR RELANCER ET ET DISAIT IL SAUVER FRANCE SOIR IL S' AGISSAIT DU FRANCE SOIR PAPIER IL A INVESTI LÀ DEDANS BEAUCOUP D' ARGENT	OUYE AU RELANCER DISAIT IL SAUVÉ FRANÇOIS IL S AGISSAIT DU FRANÇOIS PAPIER ET IL INVESTIT LA DONNANT BEAUCOUP D ARGENT
QU' IL AIT INVESTI BEAUCOUP D' ARGENT NE NOUS INTERDIT PAS À NOUS AUTRES DE JOURNALISTES QUI QUI VENONS DE FRANCE SOIR QUI QUITTONS MAINTENANT FRANCE SOIR DE DIRE QU' IL A MAL UTILISÉ ENFIN QU' IL S' EST CONDUIT D' UNE FAÇON LÉGÈRE PARDON DE LE DIRE MAIS C' EST C' EST COMME ÇA QU' ON LE RESSENT	QU IL EST INVESTIF BEAUCOUP D ARGENT NE N INTERVIE PAS NOUS AUTRES DEUX JOURNALISTES QUI DONT FRANÇOIS QUITTANT MAINTENANT FRANÇOIS NE DIRE QU IL A EST MAL UTILISÉ ENFIN QU IL S EST CONDUIT D UNE FAÇON LÉGÈRE PENDANT DE LIRE MAIS C EST COMME ÇA CON RESSENT
PARCE QUE IMAGINER QUE FRANCE SOIR PAPIER POUVAIT FAIRE	PARCE QUE IMAGINEZ QUE FRANÇOIS PAPIER POUVAIT FAIRE
POUVAIT EN UN AN AVEC BEAUCOUP D' ARGENT DANS LES CAISSES VENDRE DEUX CENTS MILLE EXEMPLAIRES C' EST UNE PURE FOLIE	POUVEZ EN UN AN ET BEAUCOUP D ARGENT EN ÉQUEISSE VENDRE DEUX SOMMETS EXEMPLAIRES S ÉTAIENT PURFOLIES
LE RÉSULTAT UN ÉCHEC L' ARRÊT EN DÉCEMBRE ET ÉNORMÉMENT DE DETTES ET	LE RÉSULTAT UN ÉCHEC L ARRIÈRE DESCENTE EST ÉNORMÉMENT DE DATÉ
ON A CRU SON HISTOIRE ON A CRU QU' IL ÉTAIT CONVERTI AU NUMÉRIQUE ENTRETEMPS BEAUCOUP DE NOS CAMARADES AVAIENT ÉTÉ LICENCIÉS ON L' OUBLIE PAS ÇA ON A CRU ÇA IL NOUS AVAIT DIT	ON ACCRUT SON HISTOIRE ON A CRU QU IL ÉTAIT CONVERTI AU NUMÉRIQUE ENTRE TEMPS BEAUCOUP DE CAMARADES AVAIT ÉTÉ LICENCIÉS EN LOUIS PASSA ON ACCRUSSA ET NOUS AVAIT DITS
JE VOUS DONNERAI DU TEMPS PAS PAS ON DEMANDAIT PAS UN TEMPS ÉTERNEL ETCIS ENFIN BON EN GROS SI ON AVAIT EU JE SAIS PAS MOI VOUS VOUS RENDEZ COMPTE L' ÉNORMITÉ UN AN POUR DÉMONTRER PAS APRÈS PAS QU' ON ÉTAIT PEUT ÊTRE À LA HAUTEUR ET PUIS SINON IL Y AURAIT EU SANCTION MAIS LÀ TOC L' ÉCHARDE EST COUPÉE C' EST RUDE	JE VOUS DONNERAI DU TEMPS PAPA EN DEMANDEZ PAS UN TEMPS ÉTERNEL ET SE TERRA MON FABON ROSSI EN AVEZ EU CHEBABRE POURNDAIT CONTRE L ÉNORMITÉ UN AN POUR DÉMONTRER PAS APRÈS PAS EN EFFET PEUT ÊTRE À LA HAUTEUR PISCINANT LES RU SANCTIONS MAIS L ARTOQUE LÉGÈRE EST COUPÉ
MAIS EST CE QUE FINALEMENT VOTRE HISTOIRE CELLE DE FRANCE SOIR C' EST PAS L' HISTOIRE SOMBRE DE LA PRESSE PAPIER QUOTIDIENNE PAYANTE ET QUI VIT UN LENT DÉCLIN ET FRANCE SOIR EST PEUT ÊTRE LE PREMIER QUOTIDIEN D' UNE LONGUE LISTE	PRESQUE FINALEMENT À VOTRE HISTOIRE CELLE DE FRANÇOIS S EST PAS L HISTOIRE SOMBRE DE LA PRESSE PAPIER QUOTIDIENNE PAYANTE ET QUI VIENT LONG DÉCLIN ET FRANÇOIS ET PEUT ÊTRE LE PREMIER QUOTIDIEN DU LONG LISTE
J' AI ENVIE DE	J AI ENVIE DE
D' ESPÉRER QUE VOUS VOUS TROMPEZ ÇA SERAIT DRAMATIQUE ON ON PEUT LE CRAINDRE	L ESPÉRER QUE VOUS VOUS TROMPEZ CES DRAMATIQUES ON ON PEUT LE CRAINDRE
ON ON PEUT ON EST PEUT ÊTRE L' AVANT GARDE D' UNE ÉVOLUTION QUI IRA DE	ON COMPRENAIT PEUT ÊTRE L AVANT GARDE UNE ÉVOLUTION QUI RADE
D' ÉCHEC EN ÉCHEC MAIS JE M' ARRÊTE VITE LÀ PARCE QUE ON VIT UNE CHOSE DOULOUREUSE ON ON ON PENSE QUE ÇA AURAIT PU TOURNER AUTREMENT ON ON ESPÈRE QUELQUE PART QUE PEUT ÊTRE DANS QUELQUES MOIS QUELQUE CHOSE RESSORTIRA RESSURGIRA DES CENDRES LÀ	D ÉCHECS EN ÉCHAGNÉE MARQUE VITE LÀ BASQUE ON VILLENE CHOSE DOUVREUSE ON PENSE QUE CELA PUTOURNER AUTREMENT ON ESPÈRE QUELQUES PARTS PEUT ÊTRE EN QUELQUES MOIS QUELQUE CHOSE RESSORTIR À RESSURGIR À DESCENDRE
FRANCE SOIR N' EST PAS DÉFINITIVEMENT MORT	CE N EST PAS DÉFINITIVEMENT AUJOURD HUI
AUJOURD'HUI C' EST FINI IL Y A ENCORE QUELQUES JOURS SUR LE SITE NUMÉRIQUE DE FRANCE SOIR POINT FR QUELQUES JOURS D' UN D' UN SURSIS	AUJOURD HUI C EST FINI ENCORE QUELQUES JOURS SUR LE SITE NUMÉRINE FRANÇOIS PONEFERT QUELQUES JOURS
PETIT PETIT ESPOIR DE RENAISSANCE DU TITRE	QUIT ESPOIR DE RENAISSANCE DU TITRE
JE JE PENSE QUE CE TITRE EST VI() JE PENSE ENFIN ÇA ME PARAÎT UNE ÉVIDENCE IL IL VIENT DE LOIN	JE PENSE QUE CE TITRE Y VIT À JE PENSE FAÇONNE PAR UNE ÉVIDENCE IL VIENT DE LOIN
C' ÉTAIT LE MOUVEMENT DE RÉSISTANCE DÉFENSE DE LA FRANCE	C ÉTAIT LE MOUVEMENT DE RÉSISTANCE DÉFENDRE DE LA FRANCE
QUI À LA LIBÉRATION A DONNÉ NAISSANCE À FRANCE SOIR DANS LES ANNÉES FR() DANS LES ANNÉES SOIXANTE FRANCE SOIR C' EST QUE VOUS L' AVEZ DIT TOUT À L' HEURE	QUI A LA LIBÉRATION A DONNÉ NAISSANCE À FRANÇOIS DANS LES ÉLÉPHANTS DANS DES ANNÉES SOIXANTE PENSANT SES POUR L AVINI TOUT À L HEURE
C' ÉTAIT QUELQUE CHOSE D' EXTRAORDINAIRE ENFIN DANS UN CONTEXTE QUI N' EST PLUS LE NÔTRE AUJOURD'HUI À UN MILLION D' EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS ETC BON APRÈS IL Y A EU QUINZE VINGT ANS DE DE D' À COUP ON VA DIRE ÇA PUDIQUEMENT	C ÉTAIT DE QUELQUE CHOSE EXTRAORDINAIRE EN FA DANS CETTE INSTITUTION QUI N EST PLUS LE NOM QU UN EXEMPLAIRE PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS S ÉTAIENT D EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS QUI S ÉTAIENT D EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS NE S ÉTAIENT PAS MOINS D EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS S ÉTAIENT D EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS S ÉTAIENT D EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS S ÉTAIENT D EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS NE S ÉTAIENT PAS MOINS D EXEMPLAIRES PAR JOUR MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS S ÉTAIENT D EXEMPLAIRES PAR JOUR ET MÊME PLUS PARFOIS PLUSIEURS ÉDITIONS NE S ÉTERA PAS APRÈS UNE QUINZE
LA REPRISE PAR ALEXANDRE POUGATCHEV NOTRE FRANCO RUSSE	ELLE LA REPRISE PAR ALEXANDRE PUGATCHEV NOTRE FRANCO RUSSE
MOI JE DIS QUAND MÊME QUE CE TITRE IL APPARTIENT ME SEMBLE T IL JE DIS MODESTEMENT VOUS SAVEZ MOI	MOI JE DIT QUAND MÊME QUE CE TITRE IL APPARTIENT ME SEMBLE TIGE DE MODESTEMENT AUX CÉLÈBRES
EN RAPPORT À L' C' EST RIEN JE SUIS UN MICROBE (N) MAIS CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD'HUI JE N' HÉSITE PAS À LE DIRE AU PATRIMOINE FRANÇAIS DONC JE N' EXCLUS PAS	PAR RAPPORT AUX ARRÊTS SÉRIENS CHEZ À MICROBE MAIS AUSSI CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT QUELQUE PART MÊME POUR LES TOUT JEUNES AUJOURD HUI ET CE TITRE IL APPARTIENT
QUI QU' IL SOIT QU' IL SOIT MIS AUX ENCHÈRES ET QU' IL RESURGISSE UN JOUR MAIS ENFIN AUJOURD'HUI C' EST FINI ET ON A QUAND MÊME DE L' AMERTUME AUX LÈVRES ET UN PEU DE COLÈRE	QUI SOIT IL SOIT MIS AUX ENCHÈRES ET QU IL RESSURGIT SA JOURNÉE PAR AUJOURD HUI SÉFINI ET ON A QUAND MÊME DE L AMERTUME AUX LÈVRES ET UN PEU DE COLÈRE
PARCE QUE ON AURAIT AIMÉ JE PENSE QUE NOS NOS INTERNAUTES MÉRITAIENT MIEUX LES JOURNALISTES QUI SE SONT BATTUS MÉRITAIENT MIEUX ON DEMANDE PAS DES CADEAUX ON DEMANDE PAS QU' ON NOUS PASSE LA MAIN DANS LE DOS MAIS CET ARRÊT BRUTAL EN PLEINE COURSE ET AU COEUR DE L' ÉTÉ C' EST QUAND MÊME INJUSTE	PARCE QUE QU ON EN AIMAIT EU PENSE QUE NON NOS INTERNAUTES MÉRITAIENT MIEUX LES JOURNALISTES SE SONT BATTUS MÉRITAMIEUX EN MANQUANT DES CADEAUX NEMENT PAS QU ON NOUS PASSE LA MA DANS LE DOMAINE SÉTARÉ BRUTAL EN PLEINE COURSE ET AUTEUR DE L ÉTÉ C EST QUAND MÊME MAJUSTE
